The Oxford 3000™ (American English)

Index   English            Fr                            
[1053]  fire               feu                           
[1054]  firm               ferme                         
[1055]  first              d'abord                       
[1056]  fish               poisson                       
[1057]  fishing            pêche                         
[1058]  fit                ajuster                       
[1059]  fitness            aptitude                      
[1060]  five               cinq                          
[1061]  fix                réparer                       
[1062]  fixed              fixé                          
[1063]  flag               drapeau                       
[1064]  flame              flamme                        
[1065]  flash              éclair                        
[1066]  flat               plat                          
[1067]  flexible           flexible                      
[1068]  flight             vol                           
[1069]  float              flotter                       
[1070]  flood              inondation                    
[1071]  floor              sol                           
[1072]  flour              farine                        
[1073]  flow               couler                        
[1074]  flower             fleur                         
[1075]  flu                grippe                        
[1076]  fly                voler                         
[1077]  flying             vol                           
[1078]  focus              se concentrer                 
[1079]  fold               pli                           
[1080]  folding            pliant                        
[1081]  folk               populaire                     
[1082]  follow             suivre                        
[1083]  following          suivant                       
[1084]  food               nourriture                    
[1085]  foot               pied                          
[1086]  football           football                      
[1087]  for                pour                          
[1088]  force              forcer                        
[1089]  foreign            étranger                      
[1090]  forest             forêt                         
[1091]  forever            pour toujours                 
[1092]  forget             oublier                       
[1093]  forgive            pardonner                     
[1094]  fork               fourchette                    
[1095]  form               formulaire                    
[1096]  formal             officiel                      
[1097]  former             ancien                        
[1098]  fortunately        heureusement                  
[1099]  fortune            fortune                       
[1100]  forty              quarante                      
[1101]  forward            avant                         
[1102]  found              trouvé                        
[1103]  four               quatre                        
[1104]  fourteen           quatorze                      
[1105]  fourth             quatrième                     
[1106]  frame              cadre                         
[1107]  free               gratuit                       
[1108]  freedom            liberté                       
[1109]  freeze             geler                         
[1110]  frequency          fréquence                     
[1111]  frequently         fréquemment                   
[1112]  fresh              frais                         
[1113]  Friday             Vendredi                      
[1114]  friend             ami                           
[1115]  friendly           amical                        
[1116]  friendship         amitié                        
[1117]  frighten           effrayer                      
[1118]  frightened         effrayé                       
[1119]  frightening        effrayant                     
[1120]  frog               grenouille                    
[1121]  from               depuis                        
[1122]  front              devant                        
[1123]  frozen             congelé                       
[1124]  fruit              fruit                         
[1125]  fry                frire                         
[1126]  fuel               carburant                     
[1127]  full               complet                       
[1128]  fully              pleinement                    
[1129]  fun                amusant                       
[1130]  function           fonction                      
[1131]  fund               fonds                         
[1132]  fundamental        fondamental                   
[1133]  funding            financement                   
[1134]  funny              drôle                         
[1135]  fur                fourrure                      
[1136]  furniture          meubles                       
[1137]  further            plus loin                     
[1138]  furthermore        en outre                      
[1139]  future             avenir                        
[1140]  gain               gagner                        
[1141]  gallery            galerie                       
[1142]  game               jeu                           
[1143]  gang               gang                          
[1144]  gap                écart                         
[1145]  garage             garage                        
[1146]  garbage            ordures                       
[1147]  garden             jardin                        
[1148]  gas                gaz                           
[1149]  gate               grille                        
[1150]  gather             rassembler                    
[1151]  general            général                       
[1152]  generally          en général                    
[1153]  generate           générer                       
[1154]  generation         génération                    
[1155]  generous           généreux                      
[1156]  genre              genre                         
[1157]  gentle             doux                          
[1158]  gentleman          gentilhomme                   
[1159]  geography          géographie                    
[1160]  get                obtenir                       
[1161]  ghost              fantôme                       
[1162]  giant              géant                         
[1163]  gift               cadeau                        
[1164]  girl               fille                         
[1165]  girlfriend         petite amie                   
[1166]  give               donner                        
[1167]  glad               content                       
[1168]  glass              verre                         
[1169]  global             mondial                       
[1170]  glove              gant                          
[1171]  go                 aller                         
[1172]  goal               but                           
[1173]  god                Dieu                          
[1174]  gold               or                            
[1175]  golf               golf                          
[1176]  good               bien                          
[1177]  goodbye            au revoir                     
[1178]  goods              marchandises                  
[1179]  govern             gouverner                     
[1180]  government         gouvernement                  
[1181]  governor           gouverneur                    
[1182]  grab               saisir                        
[1183]  grade              grade                         
[1184]  gradually          progressivement               
[1185]  graduate           diplômé                       
[1186]  grain              grain                         
[1187]  grand              grandiose                     
[1188]  grandfather        grand-père                    
[1189]  grandmother        grand-mère                    
[1190]  grandparent        grand-parent                  
[1191]  grant              accorder                      
[1192]  grass              herbe                         
[1193]  grateful           reconnaissant                 
[1194]  gray               gris                          
[1195]  great              super                         
[1196]  green              vert                          
[1197]  greet              saluer                        
[1198]  grocery            épicerie                      
[1199]  ground             sol                           
[1200]  group              groupe                        
[1201]  grow               grandir                       
[1202]  growth             croissance                    
[1203]  guarantee          garantie                      
[1204]  guard              garde                         
[1205]  guess              deviner                       
[1206]  guest              invité                        
[1207]  guide              guide                         
[1208]  guilty             coupable                      
[1209]  guitar             guitare                       
[1210]  gun                pistolet                      
[1211]  guy                gars                          
[1212]  gym                salle de sport                
[1213]  habit              habitude                      
[1214]  hair               cheveux                       
[1215]  half               moitié                        
[1216]  hall               salle                         
[1217]  hand               main                          
[1218]  handle             poignée                       
[1219]  hang               accrocher                     
[1220]  happen             arriver                       
[1221]  happily            heureusement                  
[1222]  happiness          bonheur                       
[1223]  happy              heureux                       
[1224]  hard               dur                           
[1225]  hardly             à peine                       
[1226]  harm               nuire                         
[1227]  harmful            nocif                         
[1228]  hat                chapeau                       
[1229]  hate               détester                      
[1230]  have               avoir                         
[1231]  have               avoir                         
[1232]  he                 il                            
[1233]  head               tête                          
[1234]  headache           mal de tête                   
[1235]  headline           titre                         
[1236]  health             santé                         
[1237]  healthy            en bonne santé                
[1238]  hear               entendre                      
[1239]  hearing            audience                      
[1240]  heart              cœur                          
[1241]  heat               chaleur                       
[1242]  heating            chauffage                     
[1243]  heaven             paradis                       
[1244]  heavily            fortement                     
[1245]  heavy              lourd                         
[1246]  heel               talon                         
[1247]  height             hauteur                       
[1248]  helicopter         hélicoptère                   
[1249]  hell               enfer                         
[1250]  hello              Bonjour                       
[1251]  help               aide                          
[1252]  helpful            utile                         
[1253]  her                son                           
[1254]  here               ici                           
[1255]  hero               héros                         
[1256]  hers               la sienne                     
[1257]  herself            se                            
[1258]  hesitate           hésiter                       
[1259]  hey                Hé                            
[1260]  hi                 Salut                         
[1261]  hide               cacher                        
[1262]  high               haut                          
[1263]  highlight          souligner                     
[1264]  highly             très                          
[1265]  highway            autoroute                     
[1266]  hill               colline                       
[1267]  him                lui                           
[1268]  himself            se                            
[1269]  hire               embaucher                     
[1270]  his                son                           
[1271]  historic           historique                    
[1272]  historical         historique                    
[1273]  history            histoire                      
[1274]  hit                frapper                       
[1275]  hobby              passe-temps                   
[1276]  hockey             hockey                        
[1277]  hold               prise                         
[1278]  hole               trou                          
[1279]  holiday            vacances                      
[1280]  hollow             creux                         
[1281]  holy               saint                         
[1282]  home               maison                        
[1283]  homework           devoirs                       
[1284]  honest             honnête                       
[1285]  honor              honneur                       
[1286]  hope               espoir                        
[1287]  horrible           horrible                      
[1288]  horror             horreur                       
[1289]  horse              cheval                        
[1290]  hospital           hôpital                       
[1291]  host               hôte                          
[1292]  hot                chaud                         
[1293]  hotel              hôtel                         
[1294]  hour               heure                         
[1295]  house              maison                        
[1296]  household          ménage                        
[1297]  housing            logement                      
[1298]  how                comment                       
[1299]  however            cependant                     
[1300]  huge               énorme                        
[1301]  human              humain                        
[1302]  humor              humour                        
[1303]  humorous           humoristique                  
[1304]  hundred            cent                          
[1305]  hungry             affamé                        
[1306]  hunt               chasse                        
[1307]  hunting            chasse                        
[1308]  hurricane          ouragan                       
[1309]  hurry              dépêchez-vous                 
[1310]  hurt               blesser                       
[1311]  husband            mari                          
[1312]  I                  je                            
[1313]  ice                glace                         
[1314]  ice                glace                         
[1315]  idea               idée                          
[1316]  ideal              idéal                         
[1317]  identify           identifier                    
[1318]  identity           identité                      
[1319]  if                 si                            
[1320]  ignore             ignorer                       
[1321]  ill                je vais                       
[1322]  illegal            illégal                       
[1323]  illness            maladie                       
[1324]  illustrate         illustrer                     
[1325]  illustration       illustration                  
[1326]  image              image                         
[1327]  imaginary          imaginaire                    
[1328]  imagination        imagination                   
[1329]  imagine            imaginer                      
[1330]  immediate          immédiat                      
[1331]  immediately        immédiatement                 
[1332]  immigrant          immigrant                     
[1333]  impact             impact                        
[1334]  impatient          impatient                     
[1335]  imply              impliquer                     
[1336]  import             importer                      
[1337]  importance         importance                    
[1338]  important          important                     
[1339]  impose             imposer                       
[1340]  impossible         impossible                    
[1341]  impress            impressionner                 
[1342]  impressed          impressionné                  
[1343]  impression         impression                    
[1344]  impressive         impressionnant                
[1345]  improve            améliorer                     
[1346]  improvement        amélioration                  
[1347]  in                 dans                          
[1348]  inch               pouce                         
[1349]  incident           incident                      
[1350]  include            inclure                       
[1351]  included           compris                       
[1352]  including          y compris                     
[1353]  income             revenu                        
[1354]  increase           augmenter                     
[1355]  increasingly       de plus en plus               
[1356]  incredible         incroyable                    
[1357]  incredibly         incroyablement                
[1358]  indeed             en effet                      
[1359]  independent        indépendant                   
[1360]  indicate           indiquer                      
[1361]  indirect           indirect                      
[1362]  individual         individuel                    
[1363]  indoor             intérieur                     
[1364]  indoors            à l'intérieur                 
[1365]  industrial         industriel                    
[1366]  industry           industrie                     
[1367]  infection          infection                     
[1368]  influence          influence                     
[1369]  inform             informer                      
[1370]  informal           informel                      
[1371]  information        information                   
[1372]  ingredient         ingrédient                    
[1373]  11initial          11Initial                     
[1374]  initially          initialement                  
[1375]  initiative         initiative                    
[1376]  injure             blesser                       
[1377]  injured            blessé                        
[1378]  injury             blessure                      
[1379]  inner              intérieur                     
[1380]  innocent           innocent                      
[1381]  inquiry            enquête                       
[1382]  insect             insecte                       
[1383]  inside             à l'intérieur                 
[1384]  insight            aperçu                        
[1385]  insist             insister                      
[1386]  inspire            inspirer                      
[1387]  install            installer                     
[1388]  instance           exemple                       
[1389]  instead            plutôt                        
[1390]  institute          institut                      
[1391]  institution        institution                   
[1392]  instruction        instruction                   
[1393]  instructor         instructeur                   
[1394]  instrument         instrument                    
[1395]  insurance          assurance                     
[1396]  intelligence       intelligence                  
[1397]  intelligent        intelligent                   
[1398]  intend             avoir l'intention             
[1399]  intended           destiné                       
[1400]  intense            intense                       
[1401]  intention          intention                     
[1402]  interest           intérêt                       
[1403]  interested         intéressé                     
[1404]  interesting        intéressant                   
[1405]  internal           interne                       
[1406]  international      international                 
[1407]  internet           Internet                      
[1408]  interpret          interpréter                   
[1409]  interrupt          interrompre                   
[1410]  interview          entretien                     
[1411]  into               dans                          
[1412]  introduce          introduire                    
[1413]  introduction       introduction                  
[1414]  invent             inventer                      
[1415]  invention          invention                     
[1416]  invest             investir                      
[1417]  investigate        enquêter                      
[1418]  investigation      enquête                       
[1419]  investment         investissement                
[1420]  invitation         invitation                    
[1421]  invite             inviter                       
[1422]  involve            impliquer                     
[1423]  involved           impliqué                      
[1424]  iron               fer                           
[1425]  island             île                           
[1426]  issue              problème                      
[1427]  IT                 IL                            
[1428]  it                 il                            
[1429]  item               article                       
[1430]  its                c'est                         
[1431]  itself             lui-même                      
[1432]  jacket             veste                         
[1433]  jam                Confiture                     
[1434]  January            Janvier                       
[1435]  jazz               jazz                          
[1436]  jeans              jeans                         
[1437]  jewelry            bijoux                        
[1438]  job                emploi                        
[1439]  join               rejoindre                     
[1440]  joke               blague                        
[1441]  journal            journal                       
[1442]  journalist         journaliste                   
[1443]  journey            voyage                        
[1444]  joy                joie                          
[1445]  judge              juge                          
[1446]  judgment           jugement                      
[1447]  juice              jus                           
[1448]  July               Juillet                       
[1449]  jump               saut                          
[1450]  June               Juin                          
[1451]  junior             junior                        
[1452]  just               juste                         
[1453]  justice            justice                       
[1454]  justify            justifier                     
[1455]  keep               garder                        
[1456]  key                clé                           
[1457]  keyboard           clavier                       
[1458]  kick               coup                          
[1459]  kid                enfant                        
[1460]  kill               tuer                          
[1461]  killing            meurtre                       
[1462]  kilometer          kilomètre                     
[1463]  kind               gentil                        
[1464]  kind               gentil                        
[1465]  king               roi                           
[1466]  kiss               baiser                        
[1467]  kitchen            cuisine                       
[1468]  knee               genou                         
[1469]  knife              couteau                       
[1470]  knock              frappe                        
[1471]  know               savoir                        
[1472]  knowledge          connaissance                  
[1473]  lab                laboratoire                   
[1474]  label              étiquette                     
[1475]  labor              travail                       
[1476]  laboratory         laboratoire                   
[1477]  lack               manque                        
[1478]  lady               dame                          
[1479]  lake               lac                           
[1480]  lamp               lampe                         
[1481]  land               atterrir                      
[1482]  landscape          paysage                       
[1483]  language           langue                        
[1484]  laptop             ordinateur portable           
[1485]  large              grand                         
[1486]  largely            en grande partie              
[1487]  last               dernier                       
[1488]  last               dernier                       
[1489]  late               en retard                     
[1490]  later              plus tard                     
[1491]  latest             dernier                       
[1492]  laugh              rire                          
[1493]  laughter           rire                          
[1494]  launch             lancement                     
[1495]  law                loi                           
[1496]  lawyer             avocat                        
[1497]  lay                poser                         
[1498]  layer              couche                        
[1499]  lazy               paresseux                     
[1500]  lead               plomb                         
[1501]  leader             chef                          
[1502]  leadership         direction                     
[1503]  leading            menant                        
[1504]  leaf               feuille                       
[1505]  league             ligue                         
[1506]  lean               maigre                        
[1507]  learn              apprendre                     
[1508]  learning           apprentissage                 
[1509]  least              moins                         
[1510]  leather            cuir                          
[1511]  leave              partir                        
[1512]  lecture            conférence                    
[1513]  left               gauche                        
[1514]  leg                jambe                         
[1515]  legal              légal                         
[1516]  leisure            loisirs                       
[1517]  lemon              citron                        
[1518]  lend               prêter                        
[1519]  length             longueur                      
[1520]  less               moins                         
[1521]  lesson             leçon                         
[1522]  let                laisser                       
[1523]  letter             lettre                        
[1524]  level              niveau                        
[1525]  library            bibliothèque                  
[1526]  license            licence                       
[1527]  lie                mensonge                      
[1528]  lie                mensonge                      
[1529]  life               vie                           
[1530]  lifestyle          style de vie                  
[1531]  lift               ascenseur                     
[1532]  light              lumière                       
[1533]  light              lumière                       
[1534]  like               comme                         
[1535]  like               comme                         
[1536]  likely             probable                      
[1537]  limit              limite                        
[1538]  limited            limité                        
[1539]  line               doubler                       
[1540]  link               lien                          
[1541]  lion               lion                          
[1542]  lip                lèvre                         
[1543]  liquid             liquide                       
[1544]  list               liste                         
[1545]  listen             écouter                       
[1546]  listener           auditeur                      
[1547]  literature         littérature                   
[1548]  little             petit                         
[1549]  live               en direct                     
[1550]  live               en direct                     
[1551]  lively             vivant                        
[1552]  living             vie                           
[1553]  load               charger                       
[1554]  loan               prêt                          
[1555]  local              locale                        
[1556]  locate             situer                        
[1557]  located            situé                         
[1558]  location           emplacement                   
[1559]  lock               verrouillage                  
[1560]  logical            logique                       
[1561]  lonely             solitaire                     
[1562]  long               long                          
[1563]  long-term          à long terme                  
[1564]  look               regarder                      
[1565]  loose              lâche                         
[1566]  lord               seigneur                      
[1567]  lose               perdre                        
[1568]  loss               perte                         
[1569]  lost               perdu                         
[1570]  lot                parcelle                      
[1571]  loud               fort                          
[1572]  loudly             bruyamment                    
[1573]  love               amour                         
[1574]  low                faible                        
[1575]  lower              inférieur                     
[1576]  luck               chance                        
[1577]  lucky              chanceux                      
[1578]  lunch              déjeuner                      
[1579]  lung               poumon                        
[1580]  luxury             luxe                          
[1581]  machine            machine                       
[1582]  mad                fou                           
[1583]  magazine           revue                         
[1584]  magic              magie                         
[1585]  mail               mail                          
[1586]  main               principal                     
[1587]  mainly             principalement                
[1588]  maintain           maintenir                     
[1589]  major              majeur                        
[1590]  majority           majorité                      
[1591]  make               faire                         
[1592]  male               mâle                          
[1593]  mall               centre commercial             
[1594]  man                homme                         
[1595]  manage             gérer                         
[1596]  management         gestion                       
[1597]  manager            directeur                     
[1598]  manner             manière                       
[1599]  many               beaucoup                      
[1600]  map                carte                         
[1601]  March              Mars                          
[1602]  mark               marque                        
[1603]  market             marché                        
[1604]  marketing          commercialisation             
[1605]  marriage           mariage                       
[1606]  married            marié                         
[1607]  marry              marier                        
[1608]  mass               masse                         
[1609]  massive            massif                        
[1610]  master             maître                        
[1611]  match              correspondre                  
[1612]  matching           apparition                    
[1613]  material           matériel                      
[1614]  math               mathématiques                 
[1615]  mathematics        mathématiques                 
[1616]  matter             matière                       
[1617]  maximum            maximum                       
[1618]  May                Peut                          
[1619]  may                peut                          
[1620]  maybe              peut être                     
[1621]  mayor              maire                         
[1622]  me                 moi                           
[1623]  meal               repas                         
[1624]  mean               signifier                     
[1625]  meaning            signification                 
[1626]  means              moyens                        
[1627]  meanwhile          entre-temps                   
[1628]  measure            mesure                        
[1629]  measurement        mesures                       
[1630]  meat               viande                        
[1631]  media              médias                        
[1632]  medical            médical                       
[1633]  medicine           médecine                      
[1634]  medium             moyen                         
[1635]  meet               rencontrer                    
[1636]  meeting            réunion                       
[1637]  melt               fondre                        
[1638]  member             membre                        
[1639]  memory             mémoire                       
[1640]  mental             mental                        
[1641]  mention            mention                       
[1642]  menu               menu                          
[1643]  mess               désordre                      
[1644]  message            message                       
[1645]  metal              métal                         
[1646]  meter              mètre                         
[1647]  method             méthode                       
[1648]  middle             milieu                        
[1649]  midnight           minuit                        
[1650]  might              pourrait                      
[1651]  mild               bénin                         
[1652]  mile               mile                          
[1653]  military           militaire                     
[1654]  milk               lait                          
[1655]  million            million                       
[1656]  mind               esprit                        
[1657]  mine               le mien                       
[1658]  mine               le mien                       
[1659]  mineral            minéral                       
[1660]  minimum            minimum                       
[1661]  minister           ministre                      
[1662]  minor              mineure                       
[1663]  minority           minorité                      
[1664]  minute             minute                        
[1665]  mirror             miroir                        
[1666]  miss               manquer                       
[1667]  missing            manquant                      
[1668]  mission            mission                       
[1669]  mistake            erreur                        
[1670]  mix                mélanger                      
[1671]  mixed              mixte                         
[1672]  mixture            mélange                       
[1673]  model              modèle                        
[1674]  modern             moderne                       
[1675]  modify             modifier                      
[1676]  mom                maman                         
[1677]  moment             moment                        
[1678]  Monday             Lundi                         
[1679]  money              argent                        
[1680]  monitor            moniteur                      
[1681]  monkey             singe                         
[1682]  month              mois                          
[1683]  mood               humeur                        
[1684]  moon               lune                          
[1685]  moral              morale                        
[1686]  more               plus                          
[1687]  morning            matin                         
[1688]  most               la plupart                    
[1689]  mostly             surtout                       
[1690]  mother             mère                          
[1691]  motor              moteur                        
[1692]  motorcycle         moto                          
[1693]  mount              monter                        
[1694]  mountain           montagne                      
[1695]  mouse              souris                        
[1696]  mouth              bouche                        
[1697]  move               se déplacer                   
[1698]  movement           mouvement                     
[1699]  movie              film                          
[1700]  much               beaucoup                      
[1701]  mud                boue                          
[1702]  multiple           multiple                      
[1703]  multiply           multiplier                    
[1704]  murder             meurtre                       
[1705]  muscle             muscle                        
[1706]  museum             musée                         
[1707]  music              musique                       
[1708]  musical            musical                       
[1709]  musician           musicien                      
[1710]  must               doit                          
[1711]  my                 mon                           
[1712]  myself             moi-même                      
[1713]  mysterious         mystérieux                    
[1714]  mystery            mystère                       
[1715]  nail               clou                          
[1716]  name               nom                           
[1717]  narrative          narratif                      
[1718]  narrow             étroit                        
[1719]  nation             nation                        
[1720]  national           national                      
[1721]  native             indigène                      
[1722]  natural            naturel                       
[1723]  naturally          naturellement                 
[1724]  nature             nature                        
[1725]  near               près                          
[1726]  nearly             presque                       
[1727]  neat               soigné                        
[1728]  necessarily        nécessairement                
[1729]  necessary          nécessaire                    
[1730]  neck               cou                           
[1731]  need               besoin                        
[1732]  needle             aiguille                      
[1733]  negative           négatif                       
[1734]  neighbor           voisin                        
[1735]  neighborhood       quartier                      
[1736]  neither            ni l'un ni l'autre            
[1737]  nerve              nerf                          
[1738]  nervous            nerveux                       
[1739]  net                filet                         
[1740]  network            réseau                        
[1741]  never              jamais                        
[1742]  nevertheless       néanmoins                     
[1743]  new                nouveau                       
[1744]  news               nouvelles                     
[1745]  newspaper          journal                       
[1746]  next               suivant                       
[1747]  next               suivant                       
[1748]  nice               bon                           
[1749]  night              nuit                          
[1750]  nightmare          cauchemar                     
[1751]  nine               neuf                          
[1752]  nineteen           dix-neuf                      
[1753]  ninety             quatre-vingt-dix              
[1754]  no                 Non                           
[1755]  no                 Non                           
[1756]  nobody             personne                      
[1757]  noise              bruit                         
[1758]  noisy              bruyant                       
[1759]  none               aucun                         
[1760]  nor                ni                            
[1761]  normal             normale                       
[1762]  normally           normalement                   
[1763]  north              nord                          
[1764]  northern           nord                          
[1765]  nose               nez                           
[1766]  not                pas                           
[1767]  note               note                          
[1768]  nothing            rien                          
[1769]  notice             avis                          
[1770]  notion             notion                        
[1771]  novel              roman                         
[1772]  November           Novembre                      
[1773]  now                maintenant                    
[1774]  nowhere            nulle part                    
[1775]  nuclear            nucléaire                     
[1776]  number             nombre                        
[1777]  numerous           nombreux                      
[1778]  nurse              infirmière                    
[1779]  nut                noix                          
[1780]  obey               obéir                         
[1781]  object             objet                         
[1782]  objective          objectif                      
[1783]  obligation         obligation                    
[1784]  observation        observation                   
[1785]  observe            observer                      
[1786]  obtain             obtenir                       
[1787]  obvious            évident                       
[1788]  obviously          évidemment                    
[1789]  occasion           occasion                      
[1790]  occasionally       occasionnellement             
[1791]  occur              se produire                   
[1792]  ocean              océan                         
[1793]  o’clock            heure                         
[1794]  October            Octobre                       
[1795]  odd                impair                        
[1796]  of                 de                            
[1797]  off                désactivé                     
[1798]  offend             offenser                      
[1799]  offense            infraction                    
[1800]  offensive          offensant                     
[1801]  offer              offre                         
[1802]  office             bureau                        
[1803]  officer            officier                      
[1804]  official           officiel                      
[1805]  often              souvent                       
[1806]  oh                 Oh                            
[1807]  oil                huile                         
[1808]  OK                 D'ACCORD                      
[1809]  old                vieux                         
[1810]  old-fashioned      désuet                        
[1811]  on                 sur                           
[1812]  once               une fois                      
[1813]  one                un                            
[1814]  onion              oignon                        
[1815]  online             en ligne                      
[1816]  only               seulement                     
[1817]  onto               sur                           
[1818]  open               ouvrir                        
[1819]  opening            ouverture                     
[1820]  operate            fonctionner                   
[1821]  operation          opération                     
[1822]  opinion            avis                          
[1823]  opponent           adversaire                    
[1824]  opportunity        opportunité                   
[1825]  oppose             opposer                       
[1826]  opposed            opposé                        
[1827]  opposite           opposé                        
[1828]  opposition         opposition                    
[1829]  option             option                        
[1830]  or                 ou                            
[1831]  orange             orange                        
[1832]  order              commande                      
[1833]  ordinary           ordinaire                     
[1834]  organ              organe                        
[1835]  organization       organisation                  
[1836]  organize           organiser                     
[1837]  organized          organisé                      
[1838]  organizer          organisateur                  
[1839]  origin             origine                       
[1840]  original           original                      
[1841]  originally         initialement                  
[1842]  other              autre                         
[1843]  otherwise          sinon                         
[1844]  ought              devrait                       
[1845]  our                notre                         
[1846]  ours               la nôtre                      
[1847]  ourselves          nous-mêmes                    
[1848]  out                dehors                        
[1849]  outcome            résultat                      
[1850]  outdoor            de plein air                  
[1851]  outdoors           en plein air                  
[1852]  outer              extérieur                     
[1853]  outline            contour                       
[1854]  outside            dehors                        
[1855]  oven               four                          
[1856]  over               sur                           
[1857]  overall            dans l'ensemble               
[1858]  overseas           outre-mer                     
[1859]  owe                devoir                        
[1860]  own                propre                        
[1861]  owner              propriétaire                  
[1862]  pace               rythme                        
[1863]  pack               paquet                        
[1864]  package            emballer                      
[1865]  page               page                          
[1866]  pain               douleur                       
[1867]  painful            douloureux                    
[1868]  paint              peinture                      
[1869]  painter            peintre                       
[1870]  painting           peinture                      
[1871]  pair               paire                         
[1872]  palace             palais                        
[1873]  pale               pâle                          
[1874]  pan                poêle                         
[1875]  panel              panneau                       
[1876]  pants              pantalon                      
[1877]  paper              papier                        
[1878]  paragraph          paragraphe                    
[1879]  parent             mère                          
[1880]  park               parc                          
[1881]  parking            parking                       
[1882]  part               partie                        
[1883]  participant        participant                   
[1884]  participate        participer                    
[1885]  particular         particulier                   
[1886]  particularly       particulièrement              
[1887]  partly             en partie                     
[1888]  partner            partenaire                    
[1889]  party              faire la fête                 
[1890]  pass               passer                        
[1891]  passage            passage                       
[1892]  passenger          passager                      
[1893]  passion            passion                       
[1894]  passport           passeport                     
[1895]  past               passé                         
[1896]  path               chemin                        
[1897]  patient            patient                       
[1898]  pattern            modèle                        
[1899]  pay                payer                         
[1900]  payment            paiement                      
[1901]  peace              paix                          
[1902]  peaceful           pacifique                     
[1903]  pen                stylo                         
[1904]  pencil             crayon                        
[1905]  penny              penny                         
[1906]  people             personnes                     
[1907]  pepper             poivre                        
[1908]  per                par                           
[1909]  percent            pour cent                     
[1910]  percentage         pourcentage                   
[1911]  perfect            parfait                       
[1912]  perfectly          parfaitement                  
[1913]  perform            effectuer                     
[1914]  performance        performance                   
[1915]  perhaps            peut-être                     
[1916]  period             période                       
[1917]  permanent          permanent                     
[1918]  permission         autorisation                  
[1919]  permit             permis                        
[1920]  person             personne                      
[1921]  personal           personnel                     
[1922]  personality        personnalité                  
[1923]  personally         personnellement               
[1924]  perspective        perspective                   
[1925]  persuade           persuader                     
[1926]  pet                animal de compagnie           
[1927]  phase              phase                         
[1928]  phenomenon         phénomène                     
[1929]  philosophy         philosophie                   
[1930]  phone              téléphone                     
[1931]  photo              photo                         
[1932]  photograph         photographier                 
[1933]  photographer       photographe                   
[1934]  photography        photographie                  
[1935]  phrase             phrase                        
[1936]  physical           physique                      
[1937]  physics            physique                      
[1938]  piano              piano                         
[1939]  pick               prendre                       
[1940]  picture            image                         
[1941]  piece              morceau                       
[1942]  pig                cochon                        
[1943]  pile               pile                          
[1944]  pilot              pilote                        
[1945]  pin                épingle                       
[1946]  pink               rose                          
[1947]  pipe               tuyau                         
[1948]  pitch              pas                           
[1949]  place              lieu                          
[1950]  plain              plaine                        
[1951]  plan               plan                          
[1952]  plane              avion                         
[1953]  planet             planète                       
[1954]  planning           planification                 
[1955]  plant              usine                         
[1956]  plastic            plastique                     
[1957]  plate              plaque                        
[1958]  platform           plate-forme                   
[1959]  play               jouer                         
[1960]  player             joueur                        
[1961]  pleasant           agréable                      
[1962]  please             s'il te plaît                 
[1963]  pleased            heureux                       
[1964]  pleasure           plaisir                       
[1965]  plenty             beaucoup                      
[1966]  plot               parcelle                      
[1967]  plus               plus                          
[1968]  pocket             poche                         
[1969]  poem               poème                         
[1970]  poet               poète                         
[1971]  poetry             poésie                        
[1972]  point              indiquer                      
[1973]  pointed            pointu                        
[1974]  poison             poison                        
[1975]  poisonous          toxique                       
[1976]  police             police                        
[1977]  policeman          policier                      
[1978]  policy             politique                     
[1979]  polite             poli                          
[1980]  political          politique                     
[1981]  politician         politicien                    
[1982]  politics           politique                     
[1983]  pollution          pollution                     
[1984]  pool               piscine                       
[1985]  poor               pauvre                        
[1986]  pop                populaire                     
[1987]  popular            populaire                     
[1988]  popularity         popularité                    
[1989]  population         population                    
[1990]  port               port                          
[1991]  portrait           portrait                      
[1992]  pose               pose                          
[1993]  position           position                      
[1994]  positive           positif                       
[1995]  possess            posséder                      
[1996]  possession         possession                    
[1997]  possibility        possibilité                   
[1998]  possible           possible                      
[1999]  possibly           éventuellement                
[2000]  post               poste                         
[2001]  poster             affiche                       
[2002]  pot                pot                           
[2003]  potato             pomme de terre                
[2004]  potential          potentiel                     
[2005]  pound              livre                         
[2006]  pour               verser                        
[2007]  poverty            pauvreté                      
[2008]  powder             poudre                        
[2009]  power              pouvoir                       
[2010]  powerful           puissant                      
[2011]  practical          pratique                      
[2012]  practice           pratique                      
[2013]  praise             louer                         
[2014]  pray               prier                         
[2015]  prayer             prière                        
[2016]  predict            prédire                       
[2017]  prediction         prédiction                    
[2018]  prefer             préférer                      
[2019]  pregnant           enceinte                      
[2020]  preparation        préparation                   
[2021]  prepare            préparer                      
[2022]  prepared           préparé                       
[2023]  presence           présence                      
[2024]  present            présent                       
[2025]  presentation       présentation                  
[2026]  preserve           préserver                     
[2027]  president          président                     
[2028]  press              presse                        
[2029]  pressure           pression                      
[2030]  pretend            prétendre                     
[2031]  pretty             joli                          
[2032]  prevent            prévenir                      
[2033]  previous           précédent                     
[2034]  previously         précédemment                  
[2035]  price              prix                          
[2036]  priest             prêtre                        
[2037]  primary            primaire                      
[2038]  prime              prime                         
[2039]  prince             prince                        
[2040]  princess           princesse                     
[2041]  principal          principal                     
[2042]  principle          principe                      
[2043]  print              imprimer                      
